"film_id","title","rating","release_year","rental_duration","rental_rate","length","replacement_cost","category_id","actor_id","inventory_id","store_id"
1,ACADEMY DINOSAUR,PG,2006,6,0.99,86,20.99,6,1,8,2
1,ACADEMY DINOSAUR,PG,2006,6,0.99,86,20.99,6,1,7,2
1,ACADEMY DINOSAUR,PG,2006,6,0.99,86,20.99,6,1,6,2
1,ACADEMY DINOSAUR,PG,2006,6,0.99,86,20.99,6,1,5,2
1,ACADEMY DINOSAUR,PG,2006,6,0.99,86,20.99,6,1,4,1
1,ACADEMY DINOSAUR,PG,2006,6,0.99,86,20.99,6,1,3,1
1,ACADEMY DINOSAUR,PG,2006,6,0.99,86,20.99,6,1,2,1
1,ACADEMY DINOSAUR,PG,2006,6,0.99,86,20.99,6,1,1,1
23,ANACONDA CONFESSIONS,R,2006,3,0.99,92,9.99,2,1,119,2
23,ANACONDA CONFESSIONS,R,2006,3,0.99,92,9.99,2,1,118,2
23,ANACONDA CONFESSIONS,R,2006,3,0.99,92,9.99,2,1,117,1
23,ANACONDA CONFESSIONS,R,2006,3,0.99,92,9.99,2,1,116,1
23,ANACONDA CONFESSIONS,R,2006,3,0.99,92,9.99,2,1,115,1
25,ANGELS LIFE,G,2006,3,2.99,74,15.99,13,1,129,2
25,ANGELS LIFE,G,2006,3,2.99,74,15.99,13,1,128,2
25,ANGELS LIFE,G,2006,3,2.99,74,15.99,13,1,127,1
25,ANGELS LIFE,G,2006,3,2.99,74,15.99,13,1,126,1
25,ANGELS LIFE,G,2006,3,2.99,74,15.99,13,1,125,1
25,ANGELS LIFE,G,2006,3,2.99,74,15.99,13,1,124,1
106,BULWORTH COMMANDMENTS,G,2006,4,2.99,61,14.99,10,1,482,1
106,BULWORTH COMMANDMENTS,G,2006,4,2.99,61,14.99,10,1,481,1
140,CHEAPER CLYDE,G,2006,6,0.99,87,23.99,14,1,648,2
140,CHEAPER CLYDE,G,2006,6,0.99,87,23.99,14,1,647,2
140,CHEAPER CLYDE,G,2006,6,0.99,87,23.99,14,1,646,2
140,CHEAPER CLYDE,G,2006,6,0.99,87,23.99,14,1,645,1
140,CHEAPER CLYDE,G,2006,6,0.99,87,23.99,14,1,644,1
166,COLOR PHILADELPHIA,G,2006,6,2.99,149,19.99,4,1,763,2
166,COLOR PHILADELPHIA,G,2006,6,2.99,149,19.99,4,1,762,2
166,COLOR PHILADELPHIA,G,2006,6,2.99,149,19.99,4,1,761,1
166,COLOR PHILADELPHIA,G,2006,6,2.99,149,19.99,4,1,760,1
166,COLOR PHILADELPHIA,G,2006,6,2.99,149,19.99,4,1,759,1
166,COLOR PHILADELPHIA,G,2006,6,2.99,149,19.99,4,1,758,1
277,ELEPHANT TROJAN,PG-13,2006,4,4.99,126,24.99,11,1,1255,1
277,ELEPHANT TROJAN,PG-13,2006,4,4.99,126,24.99,11,1,1254,1
277,ELEPHANT TROJAN,PG-13,2006,4,4.99,126,24.99,11,1,1253,1
361,GLEAMING JAWBREAKER,NC-17,2006,5,2.99,89,25.99,15,1,1658,2
361,GLEAMING JAWBREAKER,NC-17,2006,5,2.99,89,25.99,15,1,1657,2
361,GLEAMING JAWBREAKER,NC-17,2006,5,2.99,89,25.99,15,1,1656,2
361,GLEAMING JAWBREAKER,NC-17,2006,5,2.99,89,25.99,15,1,1655,2
361,GLEAMING JAWBREAKER,NC-17,2006,5,2.99,89,25.99,15,1,1654,1
361,GLEAMING JAWBREAKER,NC-17,2006,5,2.99,89,25.99,15,1,1653,1
361,GLEAMING JAWBREAKER,NC-17,2006,5,2.99,89,25.99,15,1,1652,1
361,GLEAMING JAWBREAKER,NC-17,2006,5,2.99,89,25.99,15,1,1651,1
438,HUMAN GRAFFITI,NC-17,2006,3,2.99,68,22.99,10,1,2016,2
438,HUMAN GRAFFITI,NC-17,2006,3,2.99,68,22.99,10,1,2015,2
438,HUMAN GRAFFITI,NC-17,2006,3,2.99,68,22.99,10,1,2014,2
438,HUMAN GRAFFITI,NC-17,2006,3,2.99,68,22.99,10,1,2013,1
438,HUMAN GRAFFITI,NC-17,2006,3,2.99,68,22.99,10,1,2012,1
