"rental_id","durasi_sewa_aktual","jatah_durasi_film","denda_yang_dibayar"
1,2,7,2.99
2,4,7,2.99
3,8,7,3.99
4,10,6,4.99
5,9,5,6.99
6,3,5,0.99
7,5,4,1.99
8,3,6,4.99
9,3,6,4.99
10,6,5,5.99
11,8,4,8.99
12,5,7,4.99
13,5,3,6.99
14,1,6,0.99
15,9,4,9.99
16,1,6,4.99
17,2,7,2.99
18,6,7,0.99
19,6,7,4.99
20,2,5,2.99
21,1,5,4.99
22,1,5,4.99
23,4,4,4.99
24,2,7,4.99
25,2,5,0.99
26,6,3,3.99
27,5,5,4.99
28,1,5,4.99
29,5,6,0.99
30,5,3,2.99
31,5,6,4.99
32,0,5,0.99
33,2,6,0.99
34,4,6,2.99
35,2,5,4.99
36,4,7,2.99
37,4,7,0.99
38,7,5,4.99
39,6,6,0.99
40,2,3,4.99
41,8,3,5.99
42,6,7,4.99
43,1,4,2.99
44,4,4,0.99
45,8,5,7.99
46,8,3,5.99
47,5,4,3.99
48,8,7,1.99
49,5,3,2.99
50,3,4,2.99
51,1,4,4.99
52,6,6,0.99
53,2,4,4.99
54,7,7,4.99
55,5,6,2.99
56,1,4,2.99
57,4,5,4.99
58,3,4,4.99
59,7,6,5.99
60,5,5,2.99
61,8,7,5.99
62,5,6,2.99
63,2,3,0.99
64,9,6,5.99
65,4,6,4.99
66,4,3,1.99
67,2,5,0.99
68,6,3,7.99
69,2,4,2.99
70,2,5,2.99
71,3,4,0.99
72,3,4,0.99
73,7,3,4.99
74,1,7,0.99
75,9,5,8.99
76,9,7,2.99
77,1,5,0.99
78,6,5,5.99
79,9,7,4.99
80,6,5,5.99
81,8,4,6.99
82,7,3,6.99
83,2,7,4.99
84,4,5,2.99
85,4,7,4.99
86,5,4,1.99
87,4,7,0.99
88,4,3,3.99
89,4,7,2.99
90,7,4,7.99
91,7,5,6.99
92,6,3,5.99
93,9,6,3.99
94,5,3,2.99
95,8,5,3.99
96,5,4,1.99
97,3,5,4.99
98,2,3,0.99
99,3,6,4.99
100,8,6,4.99
101,6,4,6.99
102,6,3,3.99
103,9,7,4.99
104,2,3,0.99
105,5,7,4.99
106,10,3,11.99
107,9,5,6.99
108,5,5,2.99
109,4,3,1.99
110,9,4,9.99
111,3,6,4.99
112,8,4,8.99
113,2,4,2.99
114,7,4,3.99
115,4,4,0.99
116,1,3,4.99
117,6,7,0.99
118,6,6,0.99
119,4,5,4.99
120,7,6,5.99
121,4,6,2.99
122,8,7,3.99
123,1,4,4.99
124,5,3,6.99
125,8,7,5.99
126,3,5,2.99
127,8,6,2.99
128,4,4,4.99
129,10,6,8.99
130,5,4,3.99
131,5,4,5.99
132,6,3,3.99
133,5,7,0.99
134,8,4,4.99
135,9,3,10.99
136,6,5,5.99
137,7,7,2.99
138,4,4,4.99
139,4,5,2.99
140,2,3,0.99
141,8,6,2.99
142,4,5,0.99
143,2,6,0.99
144,7,7,2.99
145,6,4,2.99
146,9,5,8.99
147,3,5,2.99
148,6,7,0.99
149,7,4,3.99
150,6,5,5.99
151,4,6,0.99
152,8,3,9.99
153,1,6,0.99
154,3,4,0.99
155,6,3,7.99
156,1,4,2.99
157,0,4,2.99
158,8,7,1.99
159,3,4,2.99
160,6,7,2.99
161,1,6,0.99
162,1,5,4.99
163,9,3,10.99
164,2,5,4.99
165,7,5,2.99
166,5,7,0.99
167,1,5,4.99
168,7,7,0.99
169,1,3,0.99
170,7,4,5.99
171,8,6,6.99
172,3,7,0.99
173,2,7,0.99
174,2,5,0.99
175,8,5,3.99
176,6,5,3.99
177,6,4,6.99
178,9,6,5.99
179,8,6,6.99
180,6,6,4.99
181,3,4,4.99
182,6,7,4.99
183,6,4,2.99
184,2,3,0.99
185,7,6,3.99
186,8,6,4.99
187,9,3,8.99
188,0,4,4.99
